[[229.2, 487.7], [-0.9, 0.3], [-2.6, 2.6]]
[[222.9, 489.2], [-0.9, 0.3], [-2.6, 2.6]]
[[217.6, 488.1], [-0.9, 0.3], [-2.5, 2.6]]
[[216.5, 487.7], [-0.9, 0.3], [-2.6, 2.5]]
[[212.9, 488.0], [-0.9, 0.3], [-2.6, 2.5]]
[[209.1, 487.9], [-0.9, 0.3], [-2.5, 2.6]]
[[198.3, 487.5], [-0.9, 0.2], [-2.5, 2.6]]
[[192.5, 486.8], [-0.9, 0.2], [-2.5, 2.5]]
[[202.3, 488.2], [-0.9, 0.3], [-2.5, 2.4]]
[[211.0, 489.1], [-0.9, 0.3], [-2.4, 2.5]]
[[213.6, 488.8], [-0.9, 0.4], [-2.4, 2.5]]
[[218.3, 488.4], [-0.8, 0.4], [-2.4, 2.5]]
[[204.2, 487.6], [-0.9, 0.3], [-2.4, 2.4]]
[[202.6, 487.1], [-0.9, 0.3], [-2.4, 2.4]]
[[214.7, 487.8], [-0.8, 0.4], [-2.4, 2.4]]
[[250.5, 488.8], [-0.7, 0.6], [-2.4, 2.4]]
[[280.6, 489.3], [-0.6, 0.7], [-2.4, 2.4]]
[[314.2, 488.0], [-0.4, 0.8], [-2.4, 2.4]]
[[348.1, 485.8], [-0.2, 0.9], [-2.4, 2.3]]
[[381.5, 481.9], [0.0, 0.9], [-2.4, 2.3]]
[[415.8, 474.4], [0.1, 0.9], [-2.4, 2.3]]
[[412.7, 472.9], [0.1, 0.9], [-2.4, 2.2]]
[[411.3, 462.4], [0.1, 0.9], [-2.4, 2.2]]
[[414.6, 465.4], [0.2, 0.9], [-2.4, 2.1]]
[[410.0, 467.7], [0.1, 0.9], [-2.3, 2.0]]
[[398.6, 469.3], [0.1, 0.9], [-2.3, 1.9]]
[[399.6, 468.6], [0.1, 0.9], [-2.3, 1.9]]
[[397.2, 469.3], [0.1, 0.9], [-2.3, 1.9]]
[[392.9, 469.5], [0.1, 0.9], [-2.3, 1.8]]
[[383.7, 470.9], [0.0, 0.9], [-2.3, 1.7]]
[[380.4, 470.9], [0.0, 0.9], [-2.3, 1.7]]
[[384.3, 469.5], [0.0, 0.9], [-2.3, 1.6]]
[[386.0, 468.6], [0.1, 0.9], [-2.3, 1.6]]
[[387.3, 467.2], [0.1, 0.9], [-2.3, 1.6]]
[[379.5, 467.8], [0.0, 0.9], [-2.3, 1.6]]
[[375.1, 467.6], [0.0, 0.9], [-2.3, 1.4]]
[[367.3, 467.8], [0.0, 0.9], [-2.3, 1.4]]
[[359.7, 467.1], [0.0, 0.9], [-2.2, 1.4]]
[[360.7, 466.2], [0.0, 0.9], [-2.2, 1.2]]
[[358.4, 465.2], [0.0, 0.9], [-2.2, 1.2]]
[[353.1, 464.8], [0.0, 0.9], [-2.1, 1.2]]
[[344.3, 463.3], [0.0, 0.9], [-2.1, 1.0]]
[[339.5, 462.4], [0.0, 0.9], [-2.0, 1.0]]
[[328.8, 462.3], [0.0, 0.9], [-2.0, 1.0]]
[[325.3, 460.7], [0.0, 0.9], [-1.9, 0.9]]
[[319.6, 460.6], [0.0, 0.9], [-1.9, 0.8]]
[[309.0, 459.5], [0.0, 0.9], [-1.9, 0.8]]
[[308.9, 457.6], [0.0, 0.9], [-1.9, 0.8]]
[[303.3, 456.8], [0.0, 0.9], [-1.8, 0.8]]
[[287.3, 455.6], [0.0, 0.9], [-1.7, 0.7]]
[[277.3, 452.6], [0.1, 0.9], [-1.5, 0.7]]
[[262.0, 451.4], [0.1, 0.9], [-1.5, 0.7]]
[[252.1, 449.2], [0.1, 0.9], [-1.5, 0.7]]
[[229.5, 447.3], [0.0, 0.9], [-1.4, 0.6]]
[[210.2, 444.8], [0.0, 0.9], [-1.3, 0.5]]
[[199.5, 444.0], [0.0, 0.9], [-1.1, 0.5]]
[[180.8, 442.6], [0.0, 0.9], [-1.1, 0.5]]
[[168.9, 440.6], [0.0, 0.9], [-0.9, 0.4]]
[[144.8, 435.1], [0.0, 0.9], [-0.7, 0.5]]
[[163.3, 441.4], [0.2, 0.9], [-0.6, 0.6]]
[[181.4, 445.6], [0.4, 0.9], [-0.6, 0.6]]
[[200.7, 447.8], [0.6, 0.7], [-0.5, 0.5]]
[[206.7, 447.3], [0.6, 0.7], [-0.5, 0.5]]
[[201.2, 445.1], [0.6, 0.7], [-0.5, 0.5]]
[[209.0, 443.9], [0.7, 0.6], [-0.5, 0.5]]
[[224.3, 444.2], [0.8, 0.5], [-0.3, 0.5]]
[[238.4, 444.5], [0.9, 0.3], [-0.1, 0.5]]
[[247.6, 443.9], [0.9, 0.2], [-0.1, 0.5]]
[[257.7, 443.4], [0.9, 0.0], [-0.1, 0.5]]
[[269.8, 443.1], [0.9, 0.0], [0.0, 0.4]]
[[282.0, 442.4], [0.9, -0.2], [0.0, 0.4]]
[[282.5, 442.3], [0.9, -0.3], [0.1, 0.5]]
[[272.6, 443.2], [0.9, -0.4], [0.1, 0.5]]
[[258.5, 444.2], [0.8, -0.4], [0.5, 0.5]]
[[212.9, 445.9], [0.9, -0.3], [0.6, 0.5]]
